Sr No.,Question,Option A,Option B,Option C,Option D,Correct Answer
128,"129. A particle is projected with a given velocity to pass through a point P at a horizontal distance r. If t₁ and t₂ are the times taken for the two possible trajectories, then t₁t₂ is proportional to: (1 point)",a. 1/r,b. r,c. r²,d. 1/r²,b. r
129,"130. The sum of the magnitudes of two forces at a point is 16 N. Their resultant, with a magnitude of 8 N, is normal to the smaller force. The magnitudes of the two forces are: (1 point)","a. 6 N, 10 N","b. 8 N, 8 N","c. 4 N, 12 N","d. 2 N, 14 N","a. 6 N, 10 N"
130,"131. The length of a pendulum is measured as 1.01 m (error 0.01 m), and the time for 30 oscillations is 93 s (error 3 s). The percentage error in the measurement of acceleration due to gravity is: (1 point)",a. 1%,b. 5%,c. 10%,d. 15%,b. 5%
131,"132. A tension of 20 N is applied to a copper wire of cross-sectional area 0.01 cm². Young's modulus is 1.1 x 10¹¹ N/m², and Poisson's ratio is 0.32. The decrease in the cross-sectional area of the wire is: (1 point)",a. 1.16 x 10⁻⁶ cm²,b. 1.16 x 10⁻⁵ m²,c. 1.16 x 10⁻⁴ m²,d. 1.16 x 10⁻³ cm²,a. 1.16 x 10⁻⁶ cm²
132,"133. A capillary tube of radius r is in water (mass = 5 x 10⁻³ kg, height h). The same tube is in a liquid with surface tension √2 times that of water and contact angle 45°. The mass of the liquid that rises is: (1 point)",a. 5 x 10⁻³ kg,b. 6 x 10⁻³ kg,c. 5√2 x 10⁻³ kg,d. 3.5 x 10⁻³ kg,a. 5 x 10⁻³ kg
133,"134. The terminal velocity of a liquid drop of radius 'r' in air is v. If two such drops combine, the terminal velocity of the bigger drop is: (1 point)",a. √2 v,b. 2v,c. ⁴√2 v,d. ²√2 v,c. ⁴√2 v
134,"135. A 1-liter glass flask is filled with mercury at 0°C and heated to 100°C. (γ_mercury = 1.82 x 10⁻⁴ /°C, α_glass = 0.1 x 10⁻⁴ /°C). The amount of mercury that overflows is: (1 point)",a. 21.2 cc,b. 15.2 cc,c. 2.12 cc,d. 18.2 cc,b. 15.2 cc
135,"136. On a temperature scale Y, water freezes at -160°Y and boils at -50°Y. A temperature of 340 K is equivalent to: (1 point)",a. -106.3°Y,b. -96.3°Y,c. -86.3°Y,d. -76.3°Y,c. -86.3°Y
136,"137. A heat engine with a sink at 300 K has an efficiency of 40%. To increase the efficiency to 60% with the same sink temperature, the source temperature must be increased by: (1 point)",a. 750 K,b. 500 K,c. 250 K,d. 1000 K,b. 500 K
137,138. We can hear sound around corners but cannot see light due to: (1 point),a. Interference,b. Diffraction,c. Polarization,d. Dispersion,b. Diffraction
138,"139. An air column in a 32 cm long tube closed at one end resonates with a tuning fork. Another tube open at both ends (66 cm) resonates with another fork. If they produce 8 beats/second when sounded together (fundamental frequencies only), the frequencies are: (1 point)","a. 250 Hz, 258 Hz","b. 240 Hz, 248 Hz","c. 264 Hz, 256 Hz","d. 280 Hz, 272 Hz","c. 264 Hz, 256 Hz"
139,"140. A wire of uniform cross-section A, length l, and resistance R is cut into two equal pieces. The resistivity of each piece will be: (1 point)",a. The same,b. One-fourth,c. Double,d. One-half,a. The same
140,"141. A microscope has an objective (f = 1.9 cm) and eyepiece (f = 5 cm) 10.5 cm apart. For the image at the least distance of distinct vision (25 cm), the object distance before the objective is: (1 point)",a. 6.2 cm,b. 2.7 cm,c. 21.0 cm,d. 4.17 cm,b. 2.7 cm
141,142. Fresnel diffraction occurs due to light falling on a small obstacle. The intensity at a point on a screen depends on: (1 point),a. Focal length of the lens used,b. The number of half-period zones superposing,c. The square of the sum of the number of half-period zones,d. The thickness of the obstacle,b. The number of half-period zones superposing
142,"143. A short bar magnet (M = 4 Am²) in a vibration magnetometer has T = 8 s. Another magnet (M = 8 Am²) has T = 6 s. If the second magnet's moment of inertia is 9 x 10⁻² kg m², the first magnet's moment of inertia is: (1 point)",a. 9 x 10⁻² kg m²,b. 8 x 10⁻² kg m²,c. 5.33 x 10⁻² kg m²,d. 12.2 x 10⁻² kg m²,d. 12.2 x 10⁻² kg m²
143,"144. Two short bar magnets (M₁ = 1.2 Am², M₂ = 1.0 Am²) are 20 cm apart on a horizontal table with north poles pointing south (common equatorial line). Earth's horizontal field is 3.6 x 10⁻⁵ T. The resultant horizontal magnetic induction at the midpoint is: (1 point)",a. 3.6 x 10⁻⁵ T,b. 1.84 x 10⁻⁴ T,c. 2.56 x 10⁻⁴ T,d. 5.8 x 10⁻⁵ T,b. 1.84 x 10⁻⁴ T
144,"145. The SI unit of magnetic flux is Weber, which is equal to: (1 point)",a. N m A⁻¹,b. N m² A⁻¹,c. N A m⁻¹,d. N m A⁻²,b. N m² A⁻¹
145,"146. If E, M, J, and G denote energy, mass, angular momentum, and universal gravitational constant respectively, the quantity with the same dimensions as EJ²/M⁵G² is: (1 point)",a. Time,b. Angle,c. Mass,d. Length,b. Angle
146,147. The work done in moving an object from the origin to a point with position vector r = 3i + 2j- 5k by a force F = 2i - j- k is: (1 point),a. 1 unit,b. 9 units,c. 13 units,d. 60 units,b. 9 units
147,148. A particle is projected from the ground with speed v at angle θ. The average velocity between projection and the highest point is: (1 point),a.,b. (v/2) √(1 + 2sin²θ),c. (v/2) √(1 + 3cos²θ),d. v cos θ,a.
148,149. A ball dropped from 12 m loses 25% of its KE on striking the ground and bounces back to height 'h'. The value of 'h' is: (1 point),a. 3 m,b. 6 m,c. 9 m,d. 12 m,c. 9 m
149,"150. Two bodies of mass 4 kg (east, 5 m/s) and 5 kg (north, 3 m/s) are moving. The magnitude of the velocity of their center of mass is: (1 point)",a. 25/9 m/s,b. 9/25 m/s,c. √41 / 9 m/s,d. 9 / √41 m/s,c. √41 / 9 m/s
150,151. A 2.9 kg mass is suspended by a 50 cm string. A 100 g mass moving horizontally at 150 m/s strikes and sticks. The tension when the string is at 60° to the vertical (g = 10 m/s²) is: (1 point),a. 140 N,b. 135 N,c. 125 N,d. 90 N,b. 135 N
151,"152. The upper half of an inclined plane (angle φ) is smooth, the lower half is rough. A body starts from rest at the top and comes to rest at the bottom. The coefficient of friction for the lower half is: (1 point)",a. 2 tan φ,b. tan φ,c. 2 sin φ,d. 2 cos φ,a. 2 tan φ
152,153. A body with a moment of inertia of 4 kg m² (initially at rest) has a torque of 8 Nm applied. The work done by the torque in 20 s is: (1 point),a. 40 J,b. 640 J,c. 2560 J,d. 3200 J,d. 3200 J
153,"154. A uniform circular disc (radius R, angular velocity ω, inertia I) has an identical disc gently placed coaxially on top. The loss in rotational KE due to friction is: (1 point)",a. 1/8 Iω²,b. 1/4 Iω²,c. 1/2 Iω²,d. Iω²,b. 1/4 Iω²
154,155. The ratio of volumetric strain to volumetric stress is called: (1 point),a. Compressibility,b. Young's modulus,c. Bulk's modulus,d. Shear's modulus,a. Compressibility
155,"156. The base current changes from 45 μA to 140 μA, causing the collector current to change from 0.2 mA to 4 mA. The current gain (β) is: (1 point)",a. 9.5,b. 1,c. 40,d. 20,c. 40
156,"157. A U²³⁵ reactor generates 3.70 x 10⁷ J/s. Each fission releases 185 MeV. For 144 x 10⁴ s operation, the mass of fuel needed (N_A = 6 x 10²³, 1 eV = 1.6 x 10⁻¹⁹ J) is approximately: (1 point)",a. 70.5 kg,b. 0.705 kg,c. 13.1 kg,d. 1.31 kg,b. 0.705 kg
157,158. Fission reaction in U²³⁸ can be produced by: (1 point),a. Fast neutron,b. Slow neutron,c. Thermal neutron,d. All of these,a. Fast neutron
158,"159. A metal has a work function of 2 eV. If light of wavelength 3000 Å is incident, the maximum KE of photoelectrons (h = 6.6 x 10⁻³⁴ Js, c = 3 x 10⁸ m/s, 1 eV = 1.6 x 10⁻¹⁹ J) is: (1 point)",a. 4.4 x 10⁻¹⁹ J,b. 5.6 x 10⁻¹⁹ J,c. 3.4 x 10⁻¹⁹ J,d. 2.62 x 10⁻¹⁹ J,d. 2.62 x 10⁻¹⁹ J
159,"160. A photon of wavelength λ₁ causes maximum electron energy E₁. Wavelength changes to λ₂, energy becomes E₂. The value of hc is: (1 point)",a. hc = (E₂ - E₁)λ₁λ₂ / (λ₁ - λ₂),b. hc = (E₁ - E₂)λ₁λ₂ / (λ₂ - λ₁),c. hc = (E₁ + E₂)(λ₂ - λ₁) / (λ₁λ₂),d. hc = (λ₂ - λ₁) / (λ₁λ₂ (E₂ - E₁)),a. hc = (E₂ - E₁)λ₁λ₂ / (λ₁ - λ₂)
160,"161. According to Dr. Daniel, when the companions of the king saw the king after he had risen from the ground, they said, ______ and we’ll fight again.",It is him,It is he,It is his,It is himself,It is he
161,"162. When the machines are not lubricated, ______ decreases the speed, putting more load on the lifts.",Then,Than,So,It,It
162,"163. When the chairman became very ill, his wife began to take a more active role in business activities, and many people believed that ______ and the chairman shared his responsibilities.",Her,She,Herself,Hers,She
163,"164. Although most species of cat are black in color, ______ is often pure white.",The Iranian cat,Nevertheless the Iranian cat,That the Iranian cat,But the Iranian cat,The Iranian cat
164,"165. ______, regarded as the world’s oldest continuously inhabited city, is the main city of Punjab.",The Multan,Multan being,Multan,That Multan,Multan
165,166. Before man invented writing:,Literature was passed on by word of mouth,Prayers were considered literature,Literature was just singing and dancing,There was no literature,Literature was passed on by word of mouth
166,"167. As for the war songs and prayers, each generation:",Added something of its own to the stock,Blindly repeated the songs and prayers,Composed its own songs and prayers,Repeated what has been handed down to it,Added something of its own to the stock
167,168. The first war song:,Was inspired by God,Developed spontaneously,Was a song traditionally handed down,Was composed by leading dancers,Developed spontaneously
168,169. The war song evolved out of:,Creative inspiration,There was no literature,Artistic urge,Yelling and shouting,Yelling and shouting
169,170. Man invented writing because he wanted:,To be artistic,To write war songs,To write literature,To record and communicate,To record and communicate
170,171. Iron : blacksmith ::,Cotton : cloth,Food : gourmet,Clay : potter,Silver : miner,Clay : potter
171,172. Fish : scales ::,Book : papers,Snakes : fangs,Birds : feathers,Car : wheels,Birds : feathers
172,173. Nose : smell ::,Tongue : speak,Foot : hit,Hand : finger,Teeth : chew,Teeth : chew
173,174. Collage : images ::,Cement : building,Medley : songs,Furniture : sofa,Grains : tree,Medley : songs
174,175. Sketch : artist ::,Secret : confident,Cell : prisoner,Palette : painter,Draft : writer,Draft : writer
175,176. Fragile : (synonym),Strong,Grave,Weak,Showy,Weak
176,177. Esoteric : (synonym),Fair,Popular,Alluring,Private,Private
177,178. Synchronized : (antonym),Arrhythmic,Resonating,Harmonized,Brought into accord,Arrhythmic
178,179. Chaotic : (antonym),Immersive,Orderly,Hectic,Steady,Orderly
179,180. Bombastic : (antonym),Creative,Selfish,Astounded,Polite,Polite
180,181. We went to Pace and bought ______ wedding suit for the bride.,New,a new,The new,An new,a new
181,182. Citizens have the right that everyone should have ______ opportunity to have a job.,An equal,A equal,The equal,Equal,An equal
182,183. They had an accident in ______ car they painted last month.,An new car,The new car,A new car,New car,The new car
183,184. ______ is a virtue.,Honesty,An honesty,A honesty,The honesty,Honesty
184,"185. His ______ father is eighty years old, and he still runs fast.",A,An,The,None,The
185,186. What is the main thrust of the author?,Traditional systems should be strengthened,Formal education is more important than non-formal,One should never cease to learn,It is impossible to meet the needs of everyone,One should never cease to learn
186,187. Which of the following describes the purpose of the author?,To criticize the present educational system,To strengthen the present educational practice,To support non-conventional educational organizations,To present a pragmatic point of view,To present a pragmatic point of view
187,"188. According to the passage, the present education structure assumes which of the following?",All people can be educated as per their needs,Present educational planning is very much practical,Education is a onetime process,Simple rearrangement of the present educational system is a must,Education is a onetime process
188,189. What should be the measure characteristic of the future educational system?,Different modules with the same function,Same modules for different groups,No modules but standard compulsory program for all,None of these,Different modules with the same function
189,"190. According to the author, educational plan should attempt to:",Train the people at the core,Encourage conventional schools and colleges,Decide a terminal point to education,Fulfill the educational needs of everyone,Fulfill the educational needs of everyone
190,191. Iron : blacksmith ::,Cotton : cloth,Food : gourmet,Clay : potter,Silver : miner,Clay : potter
191,192. Fish : scales ::,Book : papers,Snakes : fangs,Birds : feathers,Car : wheels,Birds : feathers
192,193. Nose : smell ::,Tongue : speak,Foot : hit,Hand : finger,Teeth : chew,Teeth : chew
193,194. Collage : images ::,Cement : building,Medley : songs,Furniture : sofa,Grains : tree,Medley : songs
194,195. Sketch : artist ::,Secret : confident,Cell : prisoner,Palette : painter,Draft : writer,Draft : writer
195,196. Fragile : (synonym),Strong,Grave,Weak,Showy,Weak
196,197. Esoteric : (synonym),Fair,Popular,Alluring,Private,Private
197,198. Synchronized : (antonym),Arrhythmic,Resonating,Harmonized,Brought into accord,Arrhythmic
198,199. Chaotic : (antonym),Immersive,Orderly,Hectic,Steady,Orderly
199,200. Bombastic : (antonym),Creative,Selfish,Astounded,Polite,Polite
